Datensatz,Prozent des Trainingssatzes,Train/Validation/Test,AUC,ACC
octmnist,0.1,train,0.945106930276939,0.8775133360689372
octmnist,0.1,val,0.9382073477859594,0.8621676514032496
octmnist,0.1,test,0.9046453333333333,0.679
octmnist,0.25,train,1.0,0.9993
octmnist,0.25,val,0.96467,0.89900
octmnist,0.25,test,0.9308,0.71
octmnist,0.5,train,0.9904509650156382,0.9599696335508228
octmnist,0.5,val,0.9745155530733025,0.9245753323485968
octmnist,0.5,test,0.9440586666666666,0.726
octmnist,0.75,train,0.9969318112943333,0.9825053345735076
octmnist,0.75,val,0.9800638693979628,0.9368537666174298
octmnist,0.75,test,0.9495066666666666,0.76
octmnist,1.0,train,0.9999908789873171,0.9976712455245853
octmnist,1.0,val,0.9811310059859608,0.9382385524372231
octmnist,1.0,test,0.9477046666666666,0.769
pneumoniamnist,0.1,train,0.9886936416184972,0.9490445859872612
pneumoniamnist,0.1,val,0.9833952204132153,0.9427480916030534
pneumoniamnist,0.1,test,0.9511834319526628,0.8397435897435898
pneumoniamnist,0.25,train,1.0,1.0
pneumoniamnist,0.25,val,0.99425,0.96947
pneumoniamnist,0.25,test,0.96057,0.86538
pneumoniamnist,0.5,train,0.996419808839208,0.975785896346644
pneumoniamnist,0.5,val,0.9925545082357421,0.9656488549618321
pneumoniamnist,0.5,test,0.9572430418584265,0.8397435897435898
pneumoniamnist,0.75,train,0.9995261221486387,0.9912206173888417
pneumoniamnist,0.75,val,0.9947634009330668,0.9694656488549618
pneumoniamnist,0.75,test,0.9611385053692746,0.8397435897435898
pneumoniamnist,1.0,train,1.0,1.0
pneumoniamnist,1.0,val,0.9961153956012568,0.9675572519083969
pneumoniamnist,1.0,test,0.9629848783694938,0.842948717948718
pathmnist,0.1,train,0.9872411435040426,0.8686666666666667
pathmnist,0.1,val,0.9864899733184234,0.8655537784886046
pathmnist,0.1,test,0.9554330298409168,0.7866295264623956
pathmnist,0.25,train,0.9950610669125326,0.9295524245522023
pathmnist,0.25,val,0.9924392217520148,0.9107357057177129
pathmnist,0.25,test,0.9523667664873824,0.8274373259052925
pathmnist,0.5,train,0.9990573865680352,0.9714653984621539
pathmnist,0.5,val,0.9969366507527483,0.9460215913634547
pathmnist,0.5,test,0.9687057098617875,0.8522284122562674
pathmnist,0.75,train,1.0,0.99997
pathmnist,0.75,val,0.99861,0.96261
pathmnist,0.75,test,0.9648,0.86198
pathmnist,1.0,train,1.0,0.9999777767900796
pathmnist,1.0,val,0.999127378702323,0.9725109956017592
pathmnist,1.0,test,0.9769790735509019,0.870891364902507
chestmnist,0.1,train,0.6736899620963053,0.9474776529701978
chestmnist,0.1,val,0.6545534717143271,0.948887728725504
chestmnist,0.1,test,0.6505463503695355,0.9472460851678968
chestmnist,0.25,train,0.7210431086694671,0.948430297336858
chestmnist,0.25,val,0.6746371401224033,0.9491360319865534
chestmnist,0.25,test,0.667924942156375,0.9473193191153338
chestmnist,0.5,train,0.7579765507468459,0.9490984495954675
chestmnist,0.5,val,0.6913079910131826,0.9490023302306038
chestmnist,0.5,test,0.6897570301856099,0.9473288713693474
chestmnist,0.75,train,0.7831797199089087,0.9503722475889473
chestmnist,0.75,val,0.6959340692137077,0.9481046184406556
chestmnist,0.75,test,0.6871394332761449,0.9466411090803727
chestmnist,1.0,train,0.7899738001448098,0.9497757047458838
chestmnist,1.0,val,0.7088738576230247,0.9488495282238041
chestmnist,1.0,test,0.6998749127050987,0.9474084734861269
retinamnist,0.1,train,0.7799076667704119,0.49074074074074076
retinamnist,0.1,val,0.7161044002555063,0.425
retinamnist,0.1,test,0.6926375816272083,0.455
