dataset,split,class,samples
octmnist,train,0,33484.0
octmnist,train,1,10213.0
octmnist,train,2,7754.0
octmnist,train,3,46026.0
octmnist,val,0,3721.0
octmnist,val,1,1135.0
octmnist,val,2,862.0
octmnist,val,3,5114.0
octmnist,test,0,250.0
octmnist,test,1,250.0
octmnist,test,2,250.0
octmnist,test,3,250.0
dataset,split,class,samples
pneumoniamnist,train,0,1214.0
pneumoniamnist,train,1,3494.0
pneumoniamnist,val,0,135.0
pneumoniamnist,val,1,389.0
pneumoniamnist,test,0,234.0
pneumoniamnist,test,1,390.0
dataset,split,class,samples
pathmnist,train,0,9366.0
pathmnist,train,1,9509.0
pathmnist,train,2,10360.0
pathmnist,train,3,10401.0
pathmnist,train,4,8006.0
pathmnist,train,5,12182.0
pathmnist,train,6,7886.0
pathmnist,train,7,9401.0
pathmnist,train,8,12885.0
pathmnist,val,0,1041.0
pathmnist,val,1,1057.0
pathmnist,val,2,1152.0
pathmnist,val,3,1156.0
pathmnist,val,4,890.0
pathmnist,val,5,1354.0
pathmnist,val,6,877.0
pathmnist,val,7,1045.0
pathmnist,val,8,1432.0
pathmnist,test,0,1338.0
pathmnist,test,1,847.0
pathmnist,test,2,339.0
pathmnist,test,3,634.0
pathmnist,test,4,1035.0
pathmnist,test,5,592.0
pathmnist,test,6,741.0
pathmnist,test,7,421.0
pathmnist,test,8,1233.0
dataset,split,class,samples
chestmnist,train,0,78468.0
chestmnist,train,1,36063.0
chestmnist,train,2,0.0
chestmnist,train,3,0.0
chestmnist,train,4,0.0
chestmnist,train,5,0.0
chestmnist,train,6,0.0
chestmnist,train,7,0.0
chestmnist,train,8,0.0
chestmnist,train,9,0.0
chestmnist,train,10,0.0
chestmnist,train,11,0.0
chestmnist,train,12,0.0
chestmnist,train,13,0.0
chestmnist,val,0,11219.0
chestmnist,val,1,5140.0
chestmnist,val,2,0.0
chestmnist,val,3,0.0
chestmnist,val,4,0.0
chestmnist,val,5,0.0
chestmnist,val,6,0.0
chestmnist,val,7,0.0
chestmnist,val,8,0.0
chestmnist,val,9,0.0
chestmnist,val,10,0.0
chestmnist,val,11,0.0
chestmnist,val,12,0.0
chestmnist,val,13,0.0
chestmnist,test,0,22433.0
chestmnist,test,1,10505.0
chestmnist,test,2,0.0
chestmnist,test,3,0.0
chestmnist,test,4,0.0
chestmnist,test,5,0.0
chestmnist,test,6,0.0
chestmnist,test,7,0.0
chestmnist,test,8,0.0
chestmnist,test,9,0.0
chestmnist,test,10,0.0
chestmnist,test,11,0.0
chestmnist,test,12,0.0
chestmnist,test,13,0.0
dataset,split,class,samples
retinamnist,train,0,486.0
retinamnist,train,1,128.0
retinamnist,train,2,206.0
retinamnist,train,3,194.0
retinamnist,train,4,66.0
retinamnist,val,0,54.0
retinamnist,val,1,12.0
retinamnist,val,2,28.0
retinamnist,val,3,20.0
retinamnist,val,4,6.0
retinamnist,test,0,174.0
retinamnist,test,1,46.0
retinamnist,test,2,92.0
retinamnist,test,3,68.0
retinamnist,test,4,20.0
dataset,split,class,samples
dermamnist,train,0,228.0
dermamnist,train,1,359.0
dermamnist,train,2,769.0
dermamnist,train,3,80.0
dermamnist,train,4,779.0
dermamnist,train,5,4693.0
dermamnist,train,6,99.0
dermamnist,val,0,33.0
dermamnist,val,1,52.0
dermamnist,val,2,110.0
dermamnist,val,3,12.0
dermamnist,val,4,111.0
dermamnist,val,5,671.0
dermamnist,val,6,14.0
dermamnist,test,0,66.0
dermamnist,test,1,103.0
dermamnist,test,2,220.0
dermamnist,test,3,23.0
dermamnist,test,4,223.0
dermamnist,test,5,1341.0
dermamnist,test,6,29.0
dataset,split,class,samples
breastmnist,train,0,147.0
breastmnist,train,1,399.0
breastmnist,val,0,21.0
breastmnist,val,1,57.0
breastmnist,test,0,42.0
breastmnist,test,1,114.0
dataset,split,class,samples
organmnist_coronal,train,0,1153.0
organmnist_coronal,train,1,626.0
organmnist_coronal,train,2,608.0
organmnist_coronal,train,3,600.0
organmnist_coronal,train,4,1088.0
organmnist_coronal,train,5,1170.0
organmnist_coronal,train,6,2986.0
organmnist_coronal,train,7,1002.0
organmnist_coronal,train,8,1022.0
organmnist_coronal,train,9,1173.0
organmnist_coronal,train,10,1572.0
organmnist_coronal,val,0,191.0
organmnist_coronal,val,1,102.0
organmnist_coronal,val,2,96.0
organmnist_coronal,val,3,202.0
organmnist_coronal,val,4,132.0
organmnist_coronal,val,5,157.0
organmnist_coronal,val,6,429.0
organmnist_coronal,val,7,347.0
organmnist_coronal,val,8,352.0
organmnist_coronal,val,9,179.0
organmnist_coronal,val,10,205.0
organmnist_coronal,test,0,833.0
organmnist_coronal,test,1,442.0
organmnist_coronal,test,2,441.0
organmnist_coronal,test,3,421.0
organmnist_coronal,test,4,732.0
organmnist_coronal,test,5,737.0
organmnist_coronal,test,6,1836.0
organmnist_coronal,test,7,550.0
organmnist_coronal,test,8,558.0
organmnist_coronal,test,9,750.0
organmnist_coronal,test,10,968.0
dataset,split,class,samples
organmnist_sagittal,train,0,1148.0
organmnist_sagittal,train,1,637.0
organmnist_sagittal,train,2,615.0
organmnist_sagittal,train,3,721.0
organmnist_sagittal,train,4,1132.0
organmnist_sagittal,train,5,1119.0
organmnist_sagittal,train,6,3464.0
organmnist_sagittal,train,7,741.0
organmnist_sagittal,train,8,803.0
organmnist_sagittal,train,9,2004.0
organmnist_sagittal,train,10,1556.0
organmnist_sagittal,val,0,188.0
organmnist_sagittal,val,1,104.0
organmnist_sagittal,val,2,95.0
organmnist_sagittal,val,3,246.0
organmnist_sagittal,val,4,140.0
organmnist_sagittal,val,5,159.0
organmnist_sagittal,val,6,491.0
organmnist_sagittal,val,7,261.0
organmnist_sagittal,val,8,275.0
organmnist_sagittal,val,9,280.0
organmnist_sagittal,val,10,213.0
organmnist_sagittal,test,0,811.0
organmnist_sagittal,test,1,439.0
organmnist_sagittal,test,2,447.0
organmnist_sagittal,test,3,510.0
organmnist_sagittal,test,4,704.0
organmnist_sagittal,test,5,693.0
organmnist_sagittal,test,6,2078.0
organmnist_sagittal,test,7,397.0
organmnist_sagittal,test,8,439.0
organmnist_sagittal,test,9,1343.0
organmnist_sagittal,test,10,968.0
dataset,split,class,samples
organmnist_axial,train,0,1956.0
organmnist_axial,train,1,1408.0
organmnist_axial,train,2,1359.0
organmnist_axial,train,3,1474.0
organmnist_axial,train,4,3963.0
organmnist_axial,train,5,3817.0
organmnist_axial,train,6,6164.0
organmnist_axial,train,7,3919.0
organmnist_axial,train,8,3929.0
organmnist_axial,train,9,3031.0
organmnist_axial,train,10,3561.0
organmnist_axial,val,0,321.0
organmnist_axial,val,1,233.0
organmnist_axial,val,2,225.0
organmnist_axial,val,3,392.0
organmnist_axial,val,4,568.0
organmnist_axial,val,5,637.0
organmnist_axial,val,6,1033.0
organmnist_axial,val,7,1033.0
organmnist_axial,val,8,1009.0
organmnist_axial,val,9,529.0
organmnist_axial,val,10,511.0
organmnist_axial,test,0,1036.0
organmnist_axial,test,1,784.0
organmnist_axial,test,2,793.0
organmnist_axial,test,3,785.0
organmnist_axial,test,4,2064.0
organmnist_axial,test,5,1965.0
organmnist_axial,test,6,3285.0
organmnist_axial,test,7,1747.0
organmnist_axial,test,8,1813.0
organmnist_axial,test,9,1622.0
organmnist_axial,test,10,1884.0
