id,true_0,score_0,score_1,score_2,score_3,score_4
0,0.0,0.07907813,0.14309472,0.23518486,0.28017002,0.26247224
1,0.0,0.07914777,0.1457344,0.23856638,0.27226385,0.2642876
2,0.0,0.08064983,0.14415316,0.23798917,0.2709231,0.26628476
3,0.0,0.07939504,0.14326495,0.23851205,0.27449608,0.2643319
4,1.0,0.07831688,0.1430974,0.23722316,0.283295,0.2580676
5,0.0,0.0784042,0.14462157,0.23854226,0.27469543,0.26373658
6,3.0,0.08016319,0.14249623,0.23324037,0.28398225,0.26011795
7,3.0,0.07768097,0.14526507,0.23620217,0.27847448,0.26237723
8,0.0,0.082902364,0.13822906,0.24036695,0.27773994,0.26076162
9,2.0,0.07955952,0.1440572,0.2374052,0.27467716,0.2643009
10,1.0,0.07839115,0.14502229,0.23808615,0.27286518,0.26563525
11,3.0,0.07857916,0.14498857,0.23676902,0.27527213,0.26439103
12,0.0,0.080426045,0.14163733,0.23750193,0.2764051,0.2640296
13,3.0,0.078268334,0.14561082,0.23798035,0.2729692,0.26517132
14,3.0,0.077201635,0.14587422,0.23623526,0.27559453,0.26509434
15,2.0,0.077808075,0.14366093,0.2358663,0.28179252,0.2608722
16,1.0,0.07729281,0.1461927,0.23728052,0.27452102,0.26471302
17,0.0,0.080823116,0.14394483,0.23810709,0.27085373,0.26627126
18,0.0,0.082015224,0.13794595,0.23594268,0.28134888,0.26274726
19,0.0,0.07897957,0.14265989,0.23746026,0.2794784,0.26142195
20,0.0,0.080420256,0.14179891,0.23525241,0.28165558,0.2608729
21,2.0,0.07975575,0.14558081,0.2370496,0.27298003,0.26463377
22,0.0,0.07892314,0.14431491,0.2395105,0.27431604,0.26293543
23,0.0,0.079318374,0.14431518,0.23674184,0.2776981,0.26192647
24,2.0,0.07871238,0.14693329,0.23742174,0.27129585,0.26563668
25,0.0,0.07951038,0.14573844,0.2369448,0.27161705,0.26618937
26,3.0,0.07975224,0.1428894,0.23970816,0.27415708,0.26349315
27,1.0,0.08294402,0.13794908,0.23489086,0.28693822,0.25727782
28,2.0,0.0799313,0.14367516,0.23874754,0.27153164,0.2661144
29,2.0,0.08139424,0.14406446,0.23918244,0.27251548,0.26284337
30,0.0,0.08566038,0.13594893,0.24484633,0.27275765,0.26078674
31,1.0,0.08078937,0.14400423,0.2384463,0.27212974,0.26463035
32,0.0,0.08172616,0.1388439,0.23887981,0.2802793,0.26027077
33,0.0,0.07867545,0.14344588,0.2361197,0.2841827,0.25757626
34,1.0,0.07703523,0.14590403,0.23568651,0.28209615,0.25927812
35,0.0,0.08023562,0.14150473,0.23984078,0.27587128,0.26254755
36,1.0,0.07684809,0.14525677,0.23739122,0.27664375,0.2638602
37,1.0,0.07853212,0.14198144,0.23510809,0.28098133,0.26339704
38,3.0,0.076990895,0.1437381,0.23432451,0.28753898,0.25740752
39,0.0,0.080075644,0.1417085,0.23777485,0.27627972,0.26416126
40,0.0,0.081202045,0.14099842,0.23953843,0.2759483,0.26231283
41,2.0,0.07803173,0.1429482,0.23922059,0.28508684,0.25471267
42,0.0,0.07973689,0.14154206,0.23682192,0.27918887,0.2627103
43,4.0,0.08027469,0.14395547,0.23754247,0.27136916,0.26685822
44,2.0,0.07839719,0.14448138,0.23835854,0.2753942,0.26336867
45,0.0,0.07918125,0.14414991,0.23447676,0.279165,0.26302707
46,3.0,0.079750896,0.14197242,0.23750946,0.27821082,0.26255634
47,0.0,0.0853763,0.13650008,0.24491595,0.2721195,0.2610882
48,0.0,0.07933992,0.1420329,0.2395598,0.2765442,0.26252314
49,0.0,0.079595864,0.1441519,0.23700793,0.2732693,0.265975
50,0.0,0.08611207,0.13590224,0.24152586,0.27310133,0.26335844
51,0.0,0.07990818,0.14501433,0.2374622,0.27165818,0.2659571
52,1.0,0.078725114,0.14497963,0.2361429,0.27688032,0.263272
53,0.0,0.07857327,0.14298925,0.23617499,0.27959016,0.2626723
54,0.0,0.080162495,0.14249942,0.23718868,0.27907613,0.26107326
